,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes
Per 90,27.93,36.62,76.3%,434.49,105.75,15.87,17.60,90.1%,8.92,10.78,82.8%,2.31,6.14,37.6%,2.13,1.05,1.35,0.12,2.28
Percentile,64,65,59,60,53,66,61,91,58,48,78,55,76,8,92,28,59,20,42
