,Goals,Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xA,npxG+xA
Per 90,0.69,0.21,0.69,0.00,0.00,0.06,0.00,0.49,0.49,0.24,0.73
Percentile,98,76,99,40,38,71,53,92,93,90,97
