,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes
Per 90,28.32,36.43,77.7%,405.33,117.96,17.92,20.63,86.9%,8.34,10.82,77.1%,1.27,2.41,52.7%,1.99,1.14,1.99,0.26,4.01
Percentile,68,64,69,51,61,81,82,71,44,49,46,21,20,48,88,31,88,49,81
