,Goals,Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xA,npxG+xA
Per 90,0.75,0.42,0.59,0.16,0.20,0.03,0.00,0.71,0.55,0.34,0.89
Percentile,99,96,98,97,97,83,53,99,98,99,99
