,Statistic,Shots Total,Shots on target,Shots on target %,Goals/Shot,Goals/Shot on target,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG
Per 90,Per 90,2.57,1.41,54.7%,0.27,0.49,15.40,0.06,0.19,+0.20,+0.20
Percentile,Percentile,79,97,97,99,88,77,63,98,98,98
