Statistic,Per 90,Percentile
Goals,0.69,98
Assists,0.21,76
Non-Penalty Goals,0.69,99
Penalty Kicks Made,0.00,40
Penalty Kicks Attempted,0.00,38
Yellow Cards,0.06,71
Red Cards,0.00,53
xG,0.49,92
npxG,0.49,93
xA,0.24,90
npxG+xA,0.73,97
