Statistic,Per 90,Percentile
Shots Total,2.57,79
Shots on target,1.41,97
Shots on target %,54.7%,97
Goals/Shot,0.27,99
Goals/Shot on target,0.49,88
Average Shot Distance,15.40,77
Shots from free kicks,0.06,63
npxG/Sh,0.19,98
Goals - xG,+0.20,98
Non-Penalty Goals - npxG,+0.20,98
