Statistic,Per 90,Percentile
Shots Total,4.37,99
Shots on target,1.60,99
Shots on target %,36.6%,58
Goals/Shot,0.13,67
Goals/Shot on target,0.37,74
Average Shot Distance,15.50,74
Shots from free kicks,0.03,56
npxG/Sh,0.13,74
Goals - xG,+0.04,67
Non-Penalty Goals - npxG,+0.03,67
